"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"53","Chris Manhertz (CAR) ","vs. CHI","5 out of 5 stars","F","1.4"
"54","Cole Kmet (CHI) ","at CAR","1 out of 5 stars","F","1.4"
"55","Blake Bell (DAL) ","vs. ARI","5 out of 5 stars","F","1.3"
"56","Ross Dwelley (SF) ","vs. LAR","3 out of 5 stars","F","1.3"
"57","Pharaoh Brown (HOU) ","at TEN","5 out of 5 stars","F","1.3"
"58","MyCole Pruitt (TEN) COV-IR ","vs. HOU","3 out of 5 stars","F","1.3"
"59","Cethan Carter (CIN) ","at IND","1 out of 5 stars","F","1.2"
"60","Luke Stocker (ATL) ","at MIN","2 out of 5 stars","F","1.2"
"61","Devin Asiasi (NE) ","vs. DEN","4 out of 5 stars","F","1.2"
"62","Albert Okwuegbunam (DEN) ","at NE","1 out of 5 stars","F","1.2"
"63","Jaeden Graham (ATL) ","at MIN","2 out of 5 stars","F","1.1"
"64","Durham Smythe (MIA) ","vs. NYJ","3 out of 5 stars","F","1.0"
"65","Marcedes Lewis (GB) ","at TB","3 out of 5 stars","F","1.3"
"66","Trevon Wesco (NYJ) ","at MIA","2 out of 5 stars","F","0.9"
"67","Tyler Conklin (MIN) ","vs. ATL","5 out of 5 stars","F","0.8"
"68","Lee Smith (BUF) ","vs. KC","2 out of 5 stars","F","0.8"
"69","Temarrick Hemingway (WAS) ","at NYG","1 out of 5 stars","F","0.8"
"70","Nick Keizer (KC) ","at BUF","5 out of 5 stars","F","0.7"
"71","Jeremy Sprinkle (WAS) ","at NYG","1 out of 5 stars","F","0.7"
"72","Levine Toilolo (NYG) ","vs. WAS","4 out of 5 stars","F","0.7"
"73","Mason Schreck (CIN) ","at IND","1 out of 5 stars","F","0.7"
"74","Charlie Woerner (SF) ","vs. LAR","3 out of 5 stars","F","0.7"
"75","Deon Yelder (KC) ","at BUF","5 out of 5 stars","F","0.7"
"76","Johnny Mundt (LAR) ","at SF","1 out of 5 stars","F","0.7"
"77","J.P. Holtz (CHI) ","at CAR","1 out of 5 stars","F","0.6"
"78","Andrew Beck (DEN) ","at NE","1 out of 5 stars","F","0.5"
"79","Stephen Carlson (CLE) ","at PIT","1 out of 5 stars","F","0.3"
