"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"51","Chris Thompson (JAC) ","vs. DET","4 out of 5 stars","F","3.9"
"52","Matt Breida (MIA) ","vs. NYJ","5 out of 5 stars","F","3.8"
"53","Boston Scott (PHI) ","vs. BAL","2 out of 5 stars","F","3.8"
"54","Benny Snell Jr. (PIT) ","vs. CLE","2 out of 5 stars","F","3.7"
"55","Ke'Shawn Vaughn (TB) ","vs. GB","5 out of 5 stars","F","3.4"
"56","Jordan Wilkins (IND) ","vs. CIN","3 out of 5 stars","F","3.2"
"57","Giovani Bernard (CIN) ","at IND","1 out of 5 stars","F","3.2"
"58","Jeff Wilson Jr. (SF) ","vs. LAR","4 out of 5 stars","F","3.1"
"59","Kerryon Johnson (DET) ","at JAC","5 out of 5 stars","F","3.0"
"60","Lamical Perine (NYJ) ","at MIA","5 out of 5 stars","F","2.7"
"61","Dion Lewis (NYG) ","vs. WAS","3 out of 5 stars","F","2.6"
"62","Anthony McFarland Jr. (PIT) ","vs. CLE","2 out of 5 stars","F","2.5"
"63","Ito Smith (ATL) ","at MIN","3 out of 5 stars","F","2.4"
"64","Peyton Barber (WAS) ","at NYG","4 out of 5 stars","F","2.4"
"65","Royce Freeman (DEN) ","at NE","1 out of 5 stars","F","2.3"
"66","Darwin Thompson (KC) ","at BUF","4 out of 5 stars","F","2.3"
"67","Kyle Juszczyk (SF) ","vs. LAR","4 out of 5 stars","F","2.2"
"68","Dontrell Hilliard (CLE) ","at PIT","2 out of 5 stars","F","2.1"
"69","Corey Clement (PHI) ","vs. BAL","2 out of 5 stars","F","1.9"
"70","Jeremy McNichols (TEN) ","vs. HOU","5 out of 5 stars","F","1.9"
"71","T.J. Yeldon (BUF) ","vs. KC","3 out of 5 stars","F","1.7"
"72","Trenton Cannon (CAR) ","vs. CHI","4 out of 5 stars","F","1.6"
"73","Ryan Nall (CHI) ","at CAR","5 out of 5 stars","F","1.5"
"74","Jaylen Samuels (PIT) ","vs. CLE","2 out of 5 stars","F","1.5"
"75","AJ Dillon (GB) ","at TB","1 out of 5 stars","F","1.5"
"76","Dalvin Cook (MIN) ","vs. ATL","3 out of 5 stars","C+","1.5"
"77","Jordan Howard (MIA) ","vs. NYJ","5 out of 5 stars","F","1.5"
"78","Alex Armah (CAR) ","vs. CHI","4 out of 5 stars","F","1.5"
"79","Tyler Ervin (GB) ","at TB","1 out of 5 stars","F","1.4"
"80","JaMycal Hasty (SF) ","vs. LAR","4 out of 5 stars","F","1.4"
"81","LeSean McCoy (TB) ","vs. GB","5 out of 5 stars","F","1.3"
"82","Ameer Abdullah (MIN) ","vs. ATL","3 out of 5 stars","F","1.3"
"83","Le'Veon Bell (FA) ","-","-","F","1.3"
"84","C.J. Ham (MIN) ","vs. ATL","3 out of 5 stars","F","1.3"
"85","Ty Johnson (NYJ) ","at MIA","5 out of 5 stars","F","1.2"
"86","Lynn Bowden Jr. (MIA) ","vs. NYJ","5 out of 5 stars","F","1.0"
"87","Dare Ogunbowale (JAC) ","vs. DET","4 out of 5 stars","F","1.0"
"88","Eno Benjamin (ARI) ","at DAL","3 out of 5 stars","F","1.0"
"89","C.J. Prosise (HOU) ","at TEN","5 out of 5 stars","F","0.9"
"90","J.J. Taylor (NE) ","vs. DEN","1 out of 5 stars","F","0.9"
"91","Patrick Laird (MIA) ","vs. NYJ","5 out of 5 stars","F","0.9"
"92","Jakob Johnson (NE) ","vs. DEN","1 out of 5 stars","F","0.9"
"93","Jason Huntley (PHI) ","vs. BAL","2 out of 5 stars","F","0.8"
"94","Buddy Howell (HOU) ","at TEN","5 out of 5 stars","F","0.8"
"95","Josh Adams (NYJ) ","at MIA","5 out of 5 stars","F","0.8"
"96","Justice Hill (BAL) ","at PHI","2 out of 5 stars","F","0.8"
"97","Reggie Gilliam (BUF) ","vs. KC","3 out of 5 stars","F","0.7"
"98","Andy Janovich (CLE) ","at PIT","2 out of 5 stars","F","0.6"
"99","Patrick Ricard (BAL) ","at PHI","2 out of 5 stars","F","0.6"
"100","Keith Smith (ATL) ","at MIN","3 out of 5 stars","F","0.6"
"101","Anthony Sherman (KC) COV-IR ","at BUF","4 out of 5 stars","F","0.5"
"102","Qadree Ollison (ATL) ","at MIN","3 out of 5 stars","F","0.5"
"103","Trayveon Williams (CIN) ","at IND","1 out of 5 stars","F","0.4"
"104","Chandler Cox (MIA) ","vs. NYJ","5 out of 5 stars","F","0.4"
"105","Elijhaa Penny (NYG) ","vs. WAS","3 out of 5 stars","F","0.4"
