"RK","PLAYER NAME","OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"31","Jarvis Landry (CLE) ","at PIT","5 out of 5 stars","B-","7.8"
"32","T.Y. Hilton (IND) ","vs. CIN","4 out of 5 stars","C+","7.8"
"33","Brandin Cooks (HOU) ","at TEN","4 out of 5 stars","C+","7.7"
"34","Tee Higgins (CIN) ","at IND","2 out of 5 stars","C+","7.6"
"35","Deebo Samuel (SF) ","vs. LAR","1 out of 5 stars","C+","7.6"
"36","Julian Edelman (NE) ","vs. DEN","4 out of 5 stars","C+","7.4"
"37","Brandon Aiyuk (SF) ","vs. LAR","1 out of 5 stars","C+","7.3"
"38","D.J. Chark Jr. (JAC) ","vs. DET","5 out of 5 stars","B+","7.3"
"39","Jerry Jeudy (DEN) ","at NE","3 out of 5 stars","C","7.2"
"40","Golden Tate (NYG) ","vs. WAS","2 out of 5 stars","C","7.1"
"41","John Brown (BUF) ","vs. KC","3 out of 5 stars","C+","6.9"
"42","Diontae Johnson (PIT) ","vs. CLE","5 out of 5 stars","C+","6.8"
"43","Christian Kirk (ARI) ","at DAL","5 out of 5 stars","C","6.8"
"44","Curtis Samuel (CAR) ","vs. CHI","1 out of 5 stars","C","6.6"
"45","Keelan Cole (JAC) ","vs. DET","5 out of 5 stars","C","6.6"
"46","Preston Williams (MIA) ","vs. NYJ","5 out of 5 stars","C","6.5"
"47","Marvin Jones Jr. (DET) ","at JAC","4 out of 5 stars","C","6.4"
"48","Cole Beasley (BUF) ","vs. KC","3 out of 5 stars","C","6.4"
"49","Randall Cobb (HOU) ","at TEN","4 out of 5 stars","C","6.3"
"50","Scotty Miller (TB) ","vs. GB","2 out of 5 stars","C","6.3"
"51","Russell Gage (ATL) ","at MIN","5 out of 5 stars","C","6.2"
"52","Zach Pascal (IND) ","vs. CIN","4 out of 5 stars","C-","6.2"
"53","Travis Fulgham (PHI) ","vs. BAL","2 out of 5 stars","C-","6.1"
"54","Marquez Valdes-Scantling (GB) ","at TB","4 out of 5 stars","C-","5.9"
"55","N'Keal Harry (NE) ","vs. DEN","4 out of 5 stars","C-","5.9"
"56","Demarcus Robinson (KC) ","at BUF","3 out of 5 stars","D+","5.7"
"57","Anthony Miller (CHI) ","at CAR","1 out of 5 stars","C-","5.5"
"58","Tim Patrick (DEN) ","at NE","3 out of 5 stars","C-","5.5"
"59","Greg Ward (PHI) ","vs. BAL","2 out of 5 stars","D+","5.4"
"60","Damiere Byrd (NE) ","vs. DEN","4 out of 5 stars","D","5.3"
"61","James Washington (PIT) ","vs. CLE","5 out of 5 stars","D-","5.2"
"62","Darnell Mooney (CHI) ","at CAR","1 out of 5 stars","D","5.2"
"63","Olamide Zaccheaus (ATL) ","at MIN","5 out of 5 stars","D+","5.2"
"64","Andy Isabella (ARI) ","at DAL","5 out of 5 stars","D","5.1"
"65","A.J. Green (CIN) ","at IND","2 out of 5 stars","C-","5.1"
"66","Larry Fitzgerald (ARI) ","at DAL","5 out of 5 stars","D","4.8"
"67","Kendrick Bourne (SF) ","vs. LAR","1 out of 5 stars","D","4.7"
"68","Gabriel Davis (BUF) ","vs. KC","3 out of 5 stars","D-","4.7"
"69","Chris Godwin (TB) ","vs. GB","2 out of 5 stars","B","4.6"
"70","Cordarrelle Patterson (CHI) ","at CAR","1 out of 5 stars","D","4.5"
"71","Dontrelle Inman (WAS) ","at NYG","3 out of 5 stars","F","4.5"
"72","Jeff Smith (NYJ) ","at MIA","3 out of 5 stars","D-","4.4"
"73","Isaiah Ford (MIA) ","vs. NYJ","5 out of 5 stars","F","4.3"
"74","Josh Reynolds (LAR) ","at SF","3 out of 5 stars","F","4.2"
"75","Chris Conley (JAC) ","vs. DET","5 out of 5 stars","F","4.2"
"76","Danny Amendola (DET) ","at JAC","4 out of 5 stars","F","4.2"
"77","Adam Humphries (TEN) ","vs. HOU","4 out of 5 stars","F","4.2"
"78","Miles Boykin (BAL) ","at PHI","5 out of 5 stars","F","4.1"
"79","Kenny Stills (HOU) ","at TEN","4 out of 5 stars","F","4.0"
"80","Julio Jones (ATL) ","at MIN","5 out of 5 stars","C","3.9"
"81","Cedrick Wilson (DAL) ","vs. ARI","2 out of 5 stars","F","3.9"
"82","John Hightower (PHI) ","vs. BAL","2 out of 5 stars","F","3.7"
"83","Willie Snead IV (BAL) ","at PHI","5 out of 5 stars","F","3.7"
"84","Kalif Raymond (TEN) ","vs. HOU","4 out of 5 stars","F","3.7"
"85","Alshon Jeffery (PHI) ","vs. BAL","2 out of 5 stars","F","3.6"
"86","Tyler Johnson (TB) ","vs. GB","2 out of 5 stars","F","3.6"
"87","Devin Duvernay (BAL) ","at PHI","5 out of 5 stars","F","3.6"
"88","Corey Davis (TEN) COV-IR ","vs. HOU","4 out of 5 stars","D+","3.6"
"89","Breshad Perriman (NYJ) ","at MIA","3 out of 5 stars","F","3.5"
"90","DaeSean Hamilton (DEN) ","at NE","3 out of 5 stars","F","3.4"
"91","Marcus Johnson (IND) ","vs. CIN","4 out of 5 stars","F","3.4"
"92","Collin Johnson (JAC) ","vs. DET","5 out of 5 stars","F","3.3"
"93","Isaiah Wright (WAS) ","at NYG","3 out of 5 stars","F","3.3"
"94","Braxton Berrios (NYJ) ","at MIA","3 out of 5 stars","F","3.2"
"95","Jakeem Grant (MIA) ","vs. NYJ","5 out of 5 stars","F","3.2"
"96","Van Jefferson (LAR) ","at SF","3 out of 5 stars","F","3.2"
"97","Olabisi Johnson (MIN) ","vs. ATL","4 out of 5 stars","F","3.0"
"98","Darrius Shepherd (GB) ","at TB","4 out of 5 stars","F","2.8"
"99","Chad Beebe (MIN) ","vs. ATL","4 out of 5 stars","F","2.8"
"100","Auden Tate (CIN) ","at IND","2 out of 5 stars","F","2.7"
"101","Sterling Shepard (NYG) IR ","vs. WAS","2 out of 5 stars","F","2.5"
"102","Christian Blake (ATL) ","at MIN","5 out of 5 stars","F","2.5"
"103","DeSean Jackson (PHI) ","vs. BAL","2 out of 5 stars","F","2.5"
"104","Rashard Higgins (CLE) ","at PIT","5 out of 5 stars","F","2.4"
"105","Isaiah McKenzie (BUF) ","vs. KC","3 out of 5 stars","F","2.4"
"106","Damion Ratley (FA) ","-","-","F","2.0"
"107","Trent Taylor (SF) ","vs. LAR","1 out of 5 stars","F","2.0"
"108","Byron Pringle (KC) ","at BUF","3 out of 5 stars","F","2.0"
"109","Daurice Fountain (IND) ","vs. CIN","4 out of 5 stars","F","1.9"
"110","Mike Thomas (CIN) ","at IND","2 out of 5 stars","F","1.8"
"111","Malik Taylor (GB) ","at TB","4 out of 5 stars","F","1.6"
"112","Jakobi Meyers (NE) ","vs. DEN","4 out of 5 stars","F","1.6"
"113","Antonio Gandy-Golden (WAS) ","at NYG","3 out of 5 stars","F","1.6"
"114","Isaiah Zuber (NE) ","vs. DEN","4 out of 5 stars","F","1.5"
"115","C.J. Board (NYG) ","vs. WAS","2 out of 5 stars","F","1.4"
"116","Noah Brown (DAL) ","vs. ARI","2 out of 5 stars","F","1.3"
"117","Javon Wims (CHI) ","at CAR","1 out of 5 stars","F","1.3"
"118","Ray-Ray McCloud (PIT) ","vs. CLE","5 out of 5 stars","F","1.3"
"119","Dante Pettis (SF) ","vs. LAR","1 out of 5 stars","F","1.3"
"120","Ted Ginn Jr. (CHI) ","at CAR","1 out of 5 stars","F","1.3"
"121","Ashton Dulin (IND) ","vs. CIN","4 out of 5 stars","F","1.1"
"122","Justin Watson (TB) ","vs. GB","2 out of 5 stars","F","1.1"
"123","Marvin Hall (DET) ","at JAC","4 out of 5 stars","F","1.1"
"124","JJ Arcega-Whiteside (PHI) ","vs. BAL","2 out of 5 stars","F","1.1"
"125","Seth Roberts (CAR) ","vs. CHI","1 out of 5 stars","F","1.0"
"126","Chris Hogan (NYJ) IR ","at MIA","3 out of 5 stars","F","1.0"
"127","Quintez Cephus (DET) ","at JAC","4 out of 5 stars","F","0.9"
"128","KJ Hamler (DEN) ","at NE","3 out of 5 stars","F","0.8"
"129","Gunner Olszewski (NE) ","vs. DEN","4 out of 5 stars","F","0.8"
"130","Brandon Powell (ATL) ","at MIN","5 out of 5 stars","F","0.8"
"131","Diontae Spencer (DEN) ","at NE","3 out of 5 stars","F","0.7"
"132","Jaydon Mickens (TB) ","vs. GB","2 out of 5 stars","F","0.7"
"133","Tyrie Cleveland (DEN) ","at NE","3 out of 5 stars","F","0.6"
"134","Andre Roberts (BUF) ","vs. KC","3 out of 5 stars","F","0.5"
"135","Pharoh Cooper (CAR) ","vs. CHI","1 out of 5 stars","F","0.5"
"136","Cam Batson (TEN) ","vs. HOU","4 out of 5 stars","F","0.4"
"137","Donovan Peoples-Jones (CLE) ","at PIT","5 out of 5 stars","F","0.4"
"138","Alex Erickson (CIN) ","at IND","2 out of 5 stars","F","0.2"
"139","Quez Watkins (PHI) ","vs. BAL","2 out of 5 stars","F","0.2"
"140","Nick Westbrook-Ikhine (TEN) ","vs. HOU","4 out of 5 stars","F","0.1"
"141","Equanimeous St. Brown (GB) ","at TB","4 out of 5 stars","F","0.1"
"142","KeeSean Johnson (ARI) ","at DAL","5 out of 5 stars","F","0.1"
"143","John Ross (CIN) ","at IND","2 out of 5 stars","F","0.1"
"144","Cam Sims (WAS) ","at NYG","3 out of 5 stars","F","0.1"
"145","DeAndre Carter (HOU) ","at TEN","4 out of 5 stars","F","0.1"
"146","James Proche (BAL) ","at PHI","5 out of 5 stars","F","0.1"
"147","Tajae Sharpe (MIN) ","vs. ATL","4 out of 5 stars","F","0.1"
"148","Mack Hollins (MIA) ","vs. NYJ","5 out of 5 stars","F","0.1"
"149","Dede Westbrook (JAC) ","vs. DET","5 out of 5 stars","F","0.0"
"150","Trent Sherfield (ARI) ","at DAL","5 out of 5 stars","F","0.0"
